|note|tags|spanish_verb|inf_verb|person|sing_or_plural|mood|tense|pos_neg_cmd|cast_note|conj_verb|code|region|verb_type|gender|haver_verb|anar_verb|note1|note2|cat_note|tense_tag|mood_tag|ending_tag|pronoun_tag|cat_tags
2400|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::bendice::…bendecir…}} (la bona sort)| bendecir ends_in_ir high_irregularity irregular_form irregular_verb presente él_ella_usted |bendecir|beneir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::bendice::…bendecir…}} (la buena suerte)|beneeix|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (la bona sort)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::beneeix::…beneir…}} (la bona sort)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè beneir 
2401|⊙ Ara mateix, ⊙nosaltres {{c1::bendecimos::…bendecir…}} (la bona sort)| bendecir ends_in_ir high_irregularity irregular_verb nosotros presente regular_form |bendecir|beneir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::bendecimos::…bendecir…}} (la buena suerte)|beneïm|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (la bona sort)|⊙ Ara mateix, ⊙nosaltres {{c1::beneïm::…beneir…}} (la bona sort)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres beneir 
2402|⊙ Ara mateix, ⊙vosaltres {{c1::bendecís::…bendecir…}} (la bona sort)| bendecir ends_in_ir high_irregularity irregular_verb presente regular_form vosotros |bendecir|beneir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::bendecís::…bendecir…}} (la buena suerte)|beneïu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (la bona sort)|⊙ Ara mateix, ⊙vosaltres {{c1::beneïu::…beneir…}} (la bona sort)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres beneir 
2403|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::bendicen::…bendecir…}} (la bona sort)| bendecir ellos_ellas_ustedes ends_in_ir high_irregularity in_the_wild irregular_form irregular_verb presente refrán |bendecir|beneir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::bendicen::…bendecir…}} (la buena suerte)|beneeixen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (la bona sort)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::beneeixen::…beneir…}} (la bona sort)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès beneir 
2447|⊙ Ara mateix, ⊙jo {{c1::complazco::…complacer…}} (a l'amo)| complacer ends_in_er irregular_form irregular_verb moderate_irregularity presente yo |complacer|complaure|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::complazco::…complacer…}} (al dueño)|complac|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (a l'amo)|⊙ Ara mateix, ⊙jo {{c1::complac::…complaure…}} (a l'amo)|present|indicatiu|-re|jo| present indicatiu -re jo complaure 
2448|⊙ Ara mateix, ⊙tu {{c1::complaces::…complacer…}} (a l'amo)| complacer ends_in_er irregular_verb moderate_irregularity presente regular_form tú tú_vos |complacer|complaure|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::complaces::…complacer…}} (al dueño)|complaus|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (a l'amo)|⊙ Ara mateix, ⊙tu {{c1::complaus::…complaure…}} (a l'amo)|present|indicatiu|-re|tu| present indicatiu -re tu complaure 
2449|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::complace::…complacer…}} (a l'amo)| complacer ends_in_er in_the_wild irregular_verb moderate_irregularity modismo presente regular_form él_ella_usted |complacer|complaure|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::complace::…complacer…}} (al dueño)|complau|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (a l'amo)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::complau::…complaure…}} (a l'amo)|present|indicatiu|-re|ell/ella/vostè| present indicatiu -re ell/ella/vostè complaure 
2450|⊙ Ara mateix, ⊙nosaltres {{c1::complacemos::…complacer…}} (a l'amo)| complacer ends_in_er irregular_verb moderate_irregularity nosotros presente regular_form |complacer|complaure|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::complacemos::…complacer…}} (al dueño)|complaem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (a l'amo)|⊙ Ara mateix, ⊙nosaltres {{c1::complaem::…complaure…}} (a l'amo)|present|indicatiu|-re|nosaltres| present indicatiu -re nosaltres complaure 
2451|⊙ Ara mateix, ⊙vosaltres {{c1::complacéis::…complacer…}} (a l'amo)| complacer ends_in_er irregular_verb moderate_irregularity presente regular_form vosotros |complacer|complaure|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::complacéis::…complacer…}} (al dueño)|complaeu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (a l'amo)|⊙ Ara mateix, ⊙vosaltres {{c1::complaeu::…complaure…}} (a l'amo)|present|indicatiu|-re|vosaltres| present indicatiu -re vosaltres complaure 
2452|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::complacen::…complacer…}} (a l'amo)| complacer ellos_ellas_ustedes ends_in_er irregular_verb moderate_irregularity presente regular_form |complacer|complaure|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::complacen::…complacer…}} (al dueño)|complauen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (a l'amo)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::complauen::…complaure…}} (a l'amo)|present|indicatiu|-re|ells/elles/vostès| present indicatiu -re ells/elles/vostès complaure 
2496|⊙ Ara mateix, ⊙jo {{c1::pudro::…pudrir…}} (al professor)| ends_in_ir high_irregularity irregular_verb presente pudrir regular_form yo |pudrir|podrir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::pudro::…pudrir…}} (al profesor)|podreixo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (al professor)|⊙ Ara mateix, ⊙jo {{c1::podreixo::…podrir…}} (al professor)|present|indicatiu|-ir|jo| present indicatiu -ir jo podrir 
2497|⊙ Ara mateix, ⊙tu {{c1::pudres::…pudrir…}} (al professor)| ends_in_ir high_irregularity irregular_verb presente pudrir regular_form tú tú_vos |pudrir|podrir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::pudres::…pudrir…}} (al profesor)|podreixes|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (al professor)|⊙ Ara mateix, ⊙tu {{c1::podreixes::…podrir…}} (al professor)|present|indicatiu|-ir|tu| present indicatiu -ir tu podrir 
2498|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::pudre::…pudrir…}} (al professor)| ends_in_ir high_irregularity in_the_wild irregular_verb presente pudrir refrán regular_form él_ella_usted |pudrir|podrir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::pudre::…pudrir…}} (al profesor)|podreix|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (al professor)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::podreix::…podrir…}} (al professor)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè podrir 
2499|"⊙ Ara mateix, ⊙nosaltres {{c1::pudrimos | podrimos::…pudrir…}} (al professor)"| ends_in_ir high_irregularity irregular_form irregular_verb nosotros presente pudrir |pudrir|podrir|1|P|I|P|0|"⊙ Ahora mismo, ⊙nosotros {{c1::pudrimos | podrimos::…pudrir…}} (al profesor)"|podrim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (al professor)|⊙ Ara mateix, ⊙nosaltres {{c1::podrim::…podrir…}} (al professor)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres podrir 
2500|"⊙ Ara mateix, ⊙vosaltres {{c1::pudrís | podrís::…pudrir…}} (al professor)"| ends_in_ir high_irregularity irregular_form irregular_verb presente pudrir vosotros |pudrir|podrir|2|P|I|P|0|"⊙ Ahora mismo, ⊙vosotros {{c1::pudrís | podrís::…pudrir…}} (al profesor)"|podriu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (al professor)|⊙ Ara mateix, ⊙vosaltres {{c1::podriu::…podrir…}} (al professor)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres podrir 
2501|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::pudren::…pudrir…}} (al professor)| ellos_ellas_ustedes ends_in_ir high_irregularity irregular_verb presente pudrir regular_form |pudrir|podrir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::pudren::…pudrir…}} (al profesor)|podreixen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (al professor)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::podreixen::…podrir…}} (al professor)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès podrir 
2545|⊙ Ara mateix, ⊙jo {{c1::predigo::…predecir…}} (les victòries de l'equip)| ends_in_ir extreme_irregularity irregular_form irregular_verb predecir presente yo |predecir|predir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::predigo::…predecir…}} (las victorias del equipo)|predic|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (les victòries de l'equip)|⊙ Ara mateix, ⊙jo {{c1::predic::…predir…}} (les victòries de l'equip)|present|indicatiu|-ir|jo| present indicatiu -ir jo predir 
2546|⊙ Ara mateix, ⊙tu {{c1::predices::…predecir…}} (les victòries de l'equip)| ends_in_ir extreme_irregularity in_the_wild irregular_form irregular_verb predecir presente refrán tú tú_vos |predecir|predir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::predices::…predecir…}} (las victorias del equipo)|predius|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (les victòries de l'equip)|⊙ Ara mateix, ⊙tu {{c1::predius::…predir…}} (les victòries de l'equip)|present|indicatiu|-ir|tu| present indicatiu -ir tu predir 
2547|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::predice::…predecir…}} (les victòries de l'equip)| ends_in_ir extreme_irregularity irregular_form irregular_verb predecir presente él_ella_usted |predecir|predir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::predice::…predecir…}} (las victorias del equipo)|prediu|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (les victòries de l'equip)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::prediu::…predir…}} (les victòries de l'equip)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè predir 
2548|⊙ Ara mateix, ⊙nosaltres {{c1::predecimos::…predecir…}} (les victòries de l'equip)| ends_in_ir extreme_irregularity irregular_verb nosotros predecir presente regular_form |predecir|predir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::predecimos::…predecir…}} (las victorias del equipo)|prediem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (les victòries de l'equip)|⊙ Ara mateix, ⊙nosaltres {{c1::prediem::…predir…}} (les victòries de l'equip)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres predir 
2549|⊙ Ara mateix, ⊙vosaltres {{c1::predecís::…predecir…}} (les victòries de l'equip)| ends_in_ir extreme_irregularity irregular_verb predecir presente regular_form vosotros |predecir|predir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::predecís::…predecir…}} (las victorias del equipo)|predieu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (les victòries de l'equip)|⊙ Ara mateix, ⊙vosaltres {{c1::predieu::…predir…}} (les victòries de l'equip)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres predir 
2550|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::predicen::…predecir…}} (les victòries de l'equip)| ellos_ellas_ustedes ends_in_ir extreme_irregularity irregular_form irregular_verb predecir presente |predecir|predir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::predicen::…predecir…}} (las victorias del equipo)|prediuen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (les victòries de l'equip)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::prediuen::…predir…}} (les victòries de l'equip)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès predir 
2594|"⊙ Ara mateix, ⊙jo {{c1::jazco | jazgo | jago::…jacer…}} (al sofà)"| ends_in_er irregular_form irregular_verb low_irregularity presente yacer yo |yacer|jeure|1|S|I|P|0|"⊙ Ahora mismo, ⊙yo {{c1::yazco | yazgo | yago::…yacer…}} (en el sofá)"|jac|VMIP1S00|central|M|0|||⊙ Ara mateix, ⊙jo | (al sofà)|⊙ Ara mateix, ⊙jo {{c1::jac::…jeure…}} (al sofà)|present|indicatiu|-re|jo| present indicatiu -re jo jeure 
2595|⊙ Ara mateix, ⊙tu {{c1::jaces::…jacer…}} (al sofà)| ends_in_er irregular_verb low_irregularity presente regular_form tú tú_vos yacer |yacer|jeure|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::yaces::…yacer…}} (en el sofá)|jaus|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (al sofà)|⊙ Ara mateix, ⊙tu {{c1::jaus::…jeure…}} (al sofà)|present|indicatiu|-re|tu| present indicatiu -re tu jeure 
2596|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::jace::…jacer…}} (al sofà)| ends_in_er irregular_verb low_irregularity presente regular_form yacer él_ella_usted |yacer|jeure|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::yace::…yacer…}} (en el sofá)|jau|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (al sofà)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::jau::…jeure…}} (al sofà)|present|indicatiu|-re|ell/ella/vostè| present indicatiu -re ell/ella/vostè jeure 
2597|⊙ Ara mateix, ⊙nosaltres {{c1::jacemos::…jacer…}} (al sofà)| ends_in_er irregular_verb low_irregularity nosotros presente regular_form yacer |yacer|jeure|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::yacemos::…yacer…}} (en el sofá)|jaiem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (al sofà)|⊙ Ara mateix, ⊙nosaltres {{c1::jaiem::…jeure…}} (al sofà)|present|indicatiu|-re|nosaltres| present indicatiu -re nosaltres jeure 
2598|⊙ Ara mateix, ⊙vosaltres {{c1::jacéis::…jacer…}} (al sofà)| ends_in_er irregular_verb low_irregularity presente regular_form vosotros yacer |yacer|jeure|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::yacéis::…yacer…}} (en el sofá)|jaieu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (al sofà)|⊙ Ara mateix, ⊙vosaltres {{c1::jaieu::…jeure…}} (al sofà)|present|indicatiu|-re|vosaltres| present indicatiu -re vosaltres jeure 
2599|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::jacen::…jacer…}} (al sofà)| ellos_ellas_ustedes ends_in_er irregular_verb low_irregularity presente regular_form yacer |yacer|jeure|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::yacen::…yacer…}} (en el sofá)|jauen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (al sofà)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::jauen::…jeure…}} (al sofà)|present|indicatiu|-re|ells/elles/vostès| present indicatiu -re ells/elles/vostès jeure 
2643|"⊙ Ara mateix, ⊙jo {{c1::yergo | irgo::…erguir…}} (el cap)"| ends_in_ir erguir high_irregularity irregular_form irregular_verb presente yo |erguir|alçar|1|S|I|P|0|"⊙ Ahora mismo, ⊙yo {{c1::yergo | irgo::…erguir…}} (la cabeza)"|alço|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (el cap)|⊙ Ara mateix, ⊙jo {{c1::alço::…alçar…}} (el cap)|present|indicatiu|-ar|jo| present indicatiu -ar jo alçar 
2644|"⊙ Ara mateix, ⊙tu {{c1::yergues | irgues::…erguir…}} (el cap)"| ends_in_ir erguir high_irregularity irregular_form irregular_verb presente tú tú_vos |erguir|alçar|2|S|I|P|0|"⊙ Ahora mismo, ⊙tú {{c1::yergues | irgues::…erguir…}} (la cabeza)"|alces|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (el cap)|⊙ Ara mateix, ⊙tu {{c1::alces::…alçar…}} (el cap)|present|indicatiu|-ar|tu| present indicatiu -ar tu alçar 
2645|"⊙ Ara mateix, ⊙ell/ella/vostè {{c1::yergue | irgue::…erguir…}} (el cap)"| ends_in_ir erguir high_irregularity in_the_wild irregular_form irregular_verb modismo presente él_ella_usted |erguir|alçar|3|S|I|P|0|"⊙ Ahora mismo, ⊙él/ella/usted {{c1::yergue | irgue::…erguir…}} (la cabeza)"|alça|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (el cap)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::alça::…alçar…}} (el cap)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè alçar 
2646|⊙ Ara mateix, ⊙nosaltres {{c1::erguimos::…erguir…}} (el cap)| ends_in_ir erguir high_irregularity irregular_verb nosotros presente regular_form |erguir|alçar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::erguimos::…erguir…}} (la cabeza)|alcem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (el cap)|⊙ Ara mateix, ⊙nosaltres {{c1::alcem::…alçar…}} (el cap)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres alçar 
2647|⊙ Ara mateix, ⊙vosaltres {{c1::erguís::…erguir…}} (el cap)| ends_in_ir erguir high_irregularity irregular_verb presente regular_form vosotros |erguir|alçar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::erguís::…erguir…}} (la cabeza)|alceu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (el cap)|⊙ Ara mateix, ⊙vosaltres {{c1::alceu::…alçar…}} (el cap)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres alçar 
2648|"⊙ Ara mateix, ⊙ells/elles/vostès {{c1::yerguen | irguen::…erguir…}} (el cap)"| ellos_ellas_ustedes ends_in_ir erguir high_irregularity irregular_form irregular_verb presente |erguir|alçar|3|P|I|P|0|"⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::yerguen | irguen::…erguir…}} (la cabeza)"|alcen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (el cap)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::alcen::…alçar…}} (el cap)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès alçar 
2692|⊙ Ara mateix, ⊙jo {{c1::aúno::…aunar…}} (les voluntats de tots)| aunar ends_in_ar irregular_form irregular_verb low_irregularity presente yo |aunar|unir|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::aúno::…aunar…}} (las voluntades de todos)|uneixo|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (les voluntats de tots)|⊙ Ara mateix, ⊙jo {{c1::uneixo::…unir…}} (les voluntats de tots)|present|indicatiu|-ir|jo| present indicatiu -ir jo unir 
2693|⊙ Ara mateix, ⊙tu {{c1::aúnas::…aunar…}} (les voluntats de tots)| aunar ends_in_ar irregular_form irregular_verb low_irregularity presente tú tú_vos |aunar|unir|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::aúnas::…aunar…}} (las voluntades de todos)|uneixes|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (les voluntats de tots)|⊙ Ara mateix, ⊙tu {{c1::uneixes::…unir…}} (les voluntats de tots)|present|indicatiu|-ir|tu| present indicatiu -ir tu unir 
2694|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::aúna::…aunar…}} (les voluntats de tots)| aunar ends_in_ar irregular_form irregular_verb low_irregularity presente él_ella_usted |aunar|unir|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::aúna::…aunar…}} (las voluntades de todos)|uneix|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (les voluntats de tots)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::uneix::…unir…}} (les voluntats de tots)|present|indicatiu|-ir|ell/ella/vostè| present indicatiu -ir ell/ella/vostè unir 
2695|⊙ Ara mateix, ⊙nosaltres {{c1::aunamos::…aunar…}} (les voluntats de tots)| aunar ends_in_ar in_the_wild irregular_verb low_irregularity modismo nosotros presente regular_form |aunar|unir|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::aunamos::…aunar…}} (las voluntades de todos)|unim|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (les voluntats de tots)|⊙ Ara mateix, ⊙nosaltres {{c1::unim::…unir…}} (les voluntats de tots)|present|indicatiu|-ir|nosaltres| present indicatiu -ir nosaltres unir 
2696|⊙ Ara mateix, ⊙vosaltres {{c1::aunáis::…aunar…}} (les voluntats de tots)| aunar ends_in_ar irregular_verb low_irregularity presente regular_form vosotros |aunar|unir|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::aunáis::…aunar…}} (las voluntades de todos)|uniu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (les voluntats de tots)|⊙ Ara mateix, ⊙vosaltres {{c1::uniu::…unir…}} (les voluntats de tots)|present|indicatiu|-ir|vosaltres| present indicatiu -ir vosaltres unir 
2697|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::aúnan::…aunar…}} (les voluntats de tots)| aunar ellos_ellas_ustedes ends_in_ar irregular_form irregular_verb low_irregularity presente |aunar|unir|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::aúnan::…aunar…}} (las voluntades de todos)|uneixen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (les voluntats de tots)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::uneixen::…unir…}} (les voluntats de tots)|present|indicatiu|-ir|ells/elles/vostès| present indicatiu -ir ells/elles/vostès unir 
2741|⊙ Ara mateix, ⊙jo {{c1::rehúso::…rehusar…}} (qualsevol compromís)| ends_in_ar presente regular_form regular_spelling_change regular_verb rehusar yo |rehusar|refusar|1|S|I|P|0|⊙ Ahora mismo, ⊙yo {{c1::rehúso::…rehusar…}} (cualquier compromiso)|refuso|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (qualsevol compromís)|⊙ Ara mateix, ⊙jo {{c1::refuso::…refusar…}} (qualsevol compromís)|present|indicatiu|-ar|jo| present indicatiu -ar jo refusar 
2742|⊙ Ara mateix, ⊙tu {{c1::rehúsas::…rehusar…}} (qualsevol compromís)| ends_in_ar presente regular_form regular_spelling_change regular_verb rehusar tú tú_vos |rehusar|refusar|2|S|I|P|0|⊙ Ahora mismo, ⊙tú {{c1::rehúsas::…rehusar…}} (cualquier compromiso)|refuses|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (qualsevol compromís)|⊙ Ara mateix, ⊙tu {{c1::refuses::…refusar…}} (qualsevol compromís)|present|indicatiu|-ar|tu| present indicatiu -ar tu refusar 
2743|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::rehúsa::…rehusar…}} (qualsevol compromís)| ends_in_ar presente regular_form regular_spelling_change regular_verb rehusar él_ella_usted |rehusar|refusar|3|S|I|P|0|⊙ Ahora mismo, ⊙él/ella/usted {{c1::rehúsa::…rehusar…}} (cualquier compromiso)|refusa|VMIP3S00|central|M|0|||⊙ Ara mateix, ⊙ell/ella/vostè | (qualsevol compromís)|⊙ Ara mateix, ⊙ell/ella/vostè {{c1::refusa::…refusar…}} (qualsevol compromís)|present|indicatiu|-ar|ell/ella/vostè| present indicatiu -ar ell/ella/vostè refusar 
2744|⊙ Ara mateix, ⊙nosaltres {{c1::rehusamos::…rehusar…}} (qualsevol compromís)| ends_in_ar nosotros presente regular_form regular_verb rehusar |rehusar|refusar|1|P|I|P|0|⊙ Ahora mismo, ⊙nosotros {{c1::rehusamos::…rehusar…}} (cualquier compromiso)|refusem|VMIP1P00|central|M|0|||⊙ Ara mateix, ⊙nosaltres | (qualsevol compromís)|⊙ Ara mateix, ⊙nosaltres {{c1::refusem::…refusar…}} (qualsevol compromís)|present|indicatiu|-ar|nosaltres| present indicatiu -ar nosaltres refusar 
2745|⊙ Ara mateix, ⊙vosaltres {{c1::rehusáis::…rehusar…}} (qualsevol compromís)| ends_in_ar presente regular_form regular_verb rehusar vosotros |rehusar|refusar|2|P|I|P|0|⊙ Ahora mismo, ⊙vosotros {{c1::rehusáis::…rehusar…}} (cualquier compromiso)|refuseu|VMIP2P00|central|M|0|||⊙ Ara mateix, ⊙vosaltres | (qualsevol compromís)|⊙ Ara mateix, ⊙vosaltres {{c1::refuseu::…refusar…}} (qualsevol compromís)|present|indicatiu|-ar|vosaltres| present indicatiu -ar vosaltres refusar 
2746|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::rehúsan::…rehusar…}} (qualsevol compromís)| ellos_ellas_ustedes ends_in_ar presente regular_form regular_spelling_change regular_verb rehusar |rehusar|refusar|3|P|I|P|0|⊙ Ahora mismo, ⊙ellos/ellas/ustedes {{c1::rehúsan::…rehusar…}} (cualquier compromiso)|refusen|VMIP3P00|central|M|0|||⊙ Ara mateix, ⊙ells/elles/vostès | (qualsevol compromís)|⊙ Ara mateix, ⊙ells/elles/vostès {{c1::refusen::…refusar…}} (qualsevol compromís)|present|indicatiu|-ar|ells/elles/vostès| present indicatiu -ar ells/elles/vostès refusar 
2790|"⊙ Ara mateix, ⊙jo {{c1::yerro | erro::…errar…}} (en decir que no)"| ends_in_ar errar irregular_form irregular_verb low_irregularity presente yo |errar|errar|1|S|I|P|0|"⊙ Ahora mismo, ⊙yo {{c1::yerro | erro::…errar…}} (en decir que no)"|erro|VMIP1S0C|central|M|0|||⊙ Ara mateix, ⊙jo | (en decir que no)|⊙ Ara mateix, ⊙jo {{c1::erro::…errar…}} (en decir que no)|present|indicatiu|-ar|jo| present indicatiu -ar jo errar 
2791|"⊙ Ara mateix, ⊙tu {{c1::yerras | erras::…errar…}} (en decir que no)"| ends_in_ar errar irregular_form irregular_verb low_irregularity presente tú tú_vos |errar|errar|2|S|I|P|0|"⊙ Ahora mismo, ⊙tú {{c1::yerras | erras::…errar…}} (en decir que no)"|erres|VMIP2S00|central|M|0|||⊙ Ara mateix, ⊙tu | (en decir que no)|⊙ Ara mateix, ⊙tu {{c1::erres::…errar…}} (en decir que no)|present|indicatiu|-ar|tu| present indicatiu -ar tu errar 
